Line,Element,,,,,
3426 E,Ne_VI_3426.85 Emission SDSS,,,,,
3479,N_IV_3479->,,,,,
3480,N_IV_3480->,,,,,
3481,N_IV_3481->,,,,,
3482,N_IV_3482->,,,,,
3483,N_IV_3483->,,,,,
3484,N_IV_3484->,,,,,
3725,O_II_3725->,,,,,
3727,O_II_3727->,,,,,
3727,O_II_3727.092 Emission SDSS,,,,,
3729 E,O_II_3729.875 Emission SDSS,,,,,
3750,H12_3750->,,,,,
3771,H11_3771->,,,,,
3798,H10_3798->,,,,,
3800-4000,Ionized Calcium H and K Lines SDSS,,,,,
3820,He_I_3820->,,,,,
3834,CN_3834->,,,,,
3835,H9_3835->,,,,,
3839,Cn_3839->,,,,,
3866,Ne_III_3866->,,,,,
3868,Ne_III_3868->,,,,,
3880,CN_3880->,,,,,
3888,He_I_3888->,,,,,
3889,H8_zeta_3889->,,,,,
3889 E,He_I_3889.0 Emission SDSS,,,,,
3890,H8_zeta_3890->,,,,,
3923,Fe_I_3923->,,,,,
3926,He_I_3926->,,,,,
3932,Ca_II_3932->,,,,,
3933,Ca_II_3933->,,,,,
3934,Ca_II_3934->,,,,,
3934,K_3934.777_SDSS,,,,,
3945,Cr_II_3945->,,,,,
3962,He_I_3962->,,,,,
3965,O_III_3965->,,,,,
3968,Ca_II_3968->,,,,,
3969,H_3969.588_SDSS,,,,,
3970,H_epsilon_3970->,,,,,
3983,O_II_3983->,,,,,
3984,Fe_I_3984->,,,,,
3995,N_II_3995->,,,,,
3996,Fe_I_3996->,,,,,
3997,Fe_I_3997->,,,,,
3998,Fe_I_3998->,,,,,
4002,Fe_I_4002->,,,,,
4005,Fe_I_4005->,,,,,
4009,He_I_4009->,,,,,
4024,Zr_II_4024->,,,,,
4026,He_I_4026->,,,,,
4027,He_I_4027->,,,,,
4030,Mn_I_4030->,,,,,
4031,Mn_I_4031->,,,,,
4032,Mn_I_4032->,,,,,
4033,Mn_I_4033->,,,,,
4034,Mn_I_4034->,,,,,
4035,Mn_I_4035->,,,,,
4036,Mn_I_4036->,,,,,
4045,Fe_I_4045->,,,,,
4046,Fe_4046->,,,,,
4054,Ti_4054->,,,,,
4055,Mn_I_4055->,,,,,
4056,Mn_I_4056->,,,,,
4058,N_IV_4058->,,,,,
4064,Fe_I_4064->,,,,,
4065,C3_4065->,,,,,
4070,O_II_4070->,,,,,
4072,Fe_I_4072->,,,,,
4072 E,S_II_4072.3 Emission SDSS,,,,,
4076,O_II_4076->,,,,,
4077,Sr_II_4077->,,,,,
4078,Sr_II_4078->,,,,,
4084,Fe_I_4084->,,,,,
4089,Si_IV_4089->,,,,,
4092,CO_4092->,,,,,
4097,N_III_4097->,,,,,
4101,H_delta_4101->,,,,,
4102,H_delta_4102->,,,,,
4102 E,H_delta_4102.89 Emission SDSS,,,,,
4103,H_delta_4103->,,,,,
4110,Fe_I_4110->,,,,,
4112,V_I_4112->,,,,,
4116,Si_IV_4116->,,,,,
4120,He_I_4120->,,,,,
4121,He_I_4121->,,,,,
4128,Si_II_4128->,,,,,
4130,Si_II_4130->,,,,,
4131,Si_II_4131->,,,,,
4132,Fe_I_4132->,,,,,
4133,Fe_I_4133->,,,,,
4134,Fe_I_4134->,,,,,
4143,Fe_I_4143->,,,,,
4144,He_I_4144->,,,,,
4149,Zr_II_4149->,,,,,
4152,Fe_II_4152->,,,,,
4153,O_4153->,,,,,
4154,Ti_II_4154->,,,,,
4155,Fe_I_4155->,,,,,
4156,Fe_I_4156->,,,,,
4157,Fe_I_4157->,,,,,
4167,Mg_I_4167->,,,,,
4169,He_I_4169->,,,,,
4172,Fe_II_4172->,,,,,
4173,Fe_II_4173->,,,,,
4174,Fe_II_4174->,,,,,
4175,Fe_II_4175->,,,,,
4176,Fe_II_4176->,,,,,
4177,Fe_II_4177->,,,,,
4178,Fe_II_4178->,,,,,
4179,Fe_II_4179->,,,,,
4185,O_II_4185->,,,,,
4186,O_II_4186->,,,,,
4187,C_4187->,,,,,
4188,O_II_4188->,,,,,
4189,O_II_4189->,,,,,
4190,O_II_4190->,,,,,
4200,He_II_4200-> Helium (neutral) SDSS,,,,,
4201,CH_4201->,,,,,
4202,Fe_II_4202->,,,,,
4215,Sr_II_4215->,,,,,
4216,Sr_II_4216->,,,,,
4217,CN_4217->,,,,,
4226,Ca_I_4226->,,,,,
4227,Ca_I_4227->,,,,,
4231,Fe_II_4231->,,,,,
4232,Fe_II_4232->,,,,,
4233,Fe_II_4233->,,,,,
4234,Fe_II_4234->,,,,,
4242,Cr_II_4242->,,,,,
4246,Sc_II_4246->,,,,,
4247,Sc_II_4247->,,,,,
4250,G_band_4250_SDSS,,,,,
4254,O_II_4254->,,,,,
4258,Zr_II_4258->,,,,,
4260,Fe_I_4260->,,,,,
4267,C_II_4267->,,,,,
4271,Fe_II_4271->,,,,,
4272,Fe_II_4272->,,,,,
4276,O_II_4276->,,,,,
4277,O_II_4277->,,,,,
4278,O_II_4278->,,,,,
4279,O_II_4279->,,,,,
4280,O_II_4280->,,,,,
4281,O_II_4281->,,,,,
4282,O_II_4282->,,,,,
4283,O_II_4283->,,,,,
4284,O_II_4284->,,,,,
4285,O_II_4285->,,,,,
4286,O_II_4286->,,,,,
4287,O_II_4287->,,,,,
4288,O_II_4288->,,,,,
4289,Ti_I_4289->,,,,,
4290,O_II_4290->,,,,,
4291,O_II_4291->,,,,,
4292,O_II_4292->,,,,,
4293,O_II_4293->,,,,,
4294,O_II_4294->,,,,,
4295,O_II_4295->,,,,,
4299,CH_G_band_4299->,,,,,
4300,CH_G_band_4300->,,,,,
4301,CH_4301->,,,,,
4302,CH_4302->,,,,,
4303,O_II_V_4303->,,,,,
4304,CH_4304->,,,,,
4305,CH_4305->,,,,,
4305,G_4305.61_SDSS,,,,,
4306,CH_4306->,,,,,
4307,CH_4307->,,,,,
4308,CH_4308->,,,,,
4309,CH_4309->,,,,,
4310,CH_4310->,,,,,
4311,CH_4311->,,,,,
4312,CH_4312->,,,,,
4313,CH_4313->,,,,,
4314,Ti_I_4314->,,,,,
4315,O_II_4315->,,,,,
4317,O_II_4317->,,,,,
4318,O_II_4318->,,,,,
4319,O_II_4319->,,,,,
4320,O_II_4320->,,,,,
4325,Fe_I_4325->,,,,,
4326,Fe_II_4326->,,,,,
4339,He_II_4339->,,,,,
4340,He_II_4340->,,,,,
4341,H_gamma_4341->,,,,,
4341 E,H_gamma_4341.68 Emission SDSS,,,,,
4350,Hg_4350_SDSS,,,,,
4352,Fe_II_4352->,,,,,
4358,Hg_4358->,,,,,
4363,O_III_4363->,,,,,
4364 E,O_III_4364.436 Emission SDSS,,,,,
4367,O_II_4367->,,,,,
4368,Ti_II_4368->,,,,,
4375,Ti_II_4375->,,,,,
4379,N_III_4379->,,,,,
4380,C2_4380->,,,,,
4383,Fe_4383->,,,,,
4384,Fe_I_4384->,,,,,
4387,He_I_4387->,,,,,
4388,He_I_4388->,,,,,
4395,Ti_I_4395->,,,,,
4400,Ti_II_4400->,,,,,
4400,He_4400 Helium (ionized) SDSS,,,,,
4401,Ti_II_4401->,,,,,
4405,Fe_I_4405->,,,,,
4415,O_II_4415->,,,,,
4416,O_II_4416->,,,,,
4417,O_II_4417->,,,,,
4422,TiO_4422->,,,,,
4425,N_II_4425->,,,,,
4435,Ca_I_4435->,,,,,
4443,Fe_I_4443->,,,,,
4444,Ti_II_4444->,,,,,
4454,Fe_I_4454->,,,,,
4455,Ca_I_4455->,,,,,
4456,Ca_I_4456->,,,,,
4457,Fe_I_4457->,,,,,
4458,Fe_I_4458->,,,,,
4459,Fe_I_4459->,,,,,
4462,TiO_4462->,,,,,
4468,Ti_II_4468->,,,,,
4470,Ti_II_4470->,,,,,
4471,He_I_4471->,,,,,
4472,He_I_4472->,,,,,
4481,Mg_II_4481->,,,,,
4482,Fe_I_4482->,,,,,
4488,O_II_4488->,,,,,
4490,Fe_II_4490->,,,,,
4495,Fe_I_4495->,,,,,
4501,Ti_I_4501->,,,,,
4506,O_II_4506->,,,,,
4508,Fe_II_4508->,,,,,
4511,N_III_4511->,,,,,
4515,N_III_4515->,,,,,
4523,Fe_II_4523->,,,,,
4534,Ti_II_4534->,,,,,
4535,Ti_II_4535->,,,,,
4536,Ti_II_4536->,,,,,
4541,He_II_4541->,,,,,
4542,He_II_4542->,,,,,
4548,TiO_4548->,,,,,
4549,Fe_II_4549->,,,,,
4550,Ti_II_4550->,,,,,
4552,Si_III_4552->,,,,,
4553,Si_III_4553->,,,,,
4554,Ba_II_4554->,,,,,
4556,Ti_II_4556->,,,,,
4564,Ti_II_4564->,,,,,
4568,Si_III_4568->,,,,,
4570,Mg_I_4570->,,,,,
4572,Ti_II_4572->,,,,,
4575,Si_III_4575->,,,,,
4580,VI_CaI_4580->,,,,,
4581,VI_CaI_4581->,,,,,
4582,VI_CaI_4582->,,,,,
4583,VI_CaI_4583->,,,,,
4584,VI_CaI_4584->,,,,,
4585,VI_CaI_4585->,,,,,
4586,VI_CaI_4586->,,,,,
4588,Cr_II_4588->,,,,,
4590,O_II_4590->,,,,,
4591,O_II_4591->,,,,,
4592,O_II_4592->,,,,,
4593,O_II_4593->,,,,,
4594,V_I_4594->,,,,,
4595,O_II_4595->,,,,,
4596,O_II_4596->,,,,,
4603,N_V_4603->,,,,,
4604,N_V_4604->,,,,,
4605,N_V_4605->,,,,,
4606,N_V_4606->,,,,,
4607,N_V_4607->,,,,,
4608,N_V_4608->,,,,,
4609,O_II_V_4609->,,,,,
4610,O_II_V_4610->,,,,,
4611,N_V_4611->,,,,,
4612,N_V_4612->,,,,,
4613,N_V_4613->,,,,,
4614,N_V_4614->,,,,,
4615,N_V_4615->,,,,,
4616,N_V_4616->,,,,,
4617,Cr_II_4617->,,,,,
4618,N_V_4618->,,,,,
4619,Cr_II_4619->,,,,,
4620,ZrO_4620->,,,,,
4625,TiO_4625->,,,,,
4626,TiO_4626->,,,,,
4629,Fe_II_4629->,,,,,
4630,Fe_II_4630->,,,,,
4631,Fe_II_4631->,,,,,
4632,Fe_II_4632->,,,,,
4633,Fe_II_4633->,,,,,
4634,N_III_4634->,,,,,
4635,N_III_4635->,,,,,
4636,N_III_4636->,,,,,
4637,N_III_4637->,,,,,
4638,N_III_4638->,,,,,
4639,N_III_4639->,,,,,
4640,N_III_4640->,,,,,
4641,N_III_4641->,,,,,
4642,N_III_4642->,,,,,
4646,Cr_4646->,,,,,
4647,C_III_4647->,,,,,
4651,C_III_4651->,,,,,
4656,Ti_I_4656->,,,,,
4658,C_IV_4658->,,,,,
4668,TiO_4668->,,,,,
4670,TiO_4670->,,,,,
4676,O_II_4676->,,,,,
4679,Fe_I_4679->,,,,,
4682,Ti_I_4682->,,,,,
4683,He_II_4683->,,,,,
4685,He_II_4685->,,,,,
4686,He_II_4686->,,,,,
4691,Fe_I_4691->,,,,,
4704,Mg_I_4704->,,,,,
4708,Ti_II_4708->,,,,,
4710,Ti_4710->,,,,,
4713,He_I_4713->,,,,,
4715,Ni_I_4715->,,,,,
4716,La_4716_GALAH,,,,,
4720,Ti_4720_GALAH,,,,,
4720,Sm_4720_GALAH,,,,,
4722,Zn_4722_GALAH,,,,,
4737,C2_4737->,,,,,
4738,C2_4738->,,,,,
4739,Zr_4739_GALAH,,,,,
4749,La_4749_GALAH,,,,,
4750,SiC2_4750->,,,,,
4754,Mn_I_4754->,,,,,
4758,Ti_4758_GALAH,,,,,
4758,Ru_4758_GALAH,,,,,
4759,Ti_4759_GALAH,,,,,
4760,TiO_4760->,,,,,
4761,TiO_4761->,,,,,
4762,TiO_4762->,,,,,
4763,TiO_4763->,,,,,
4765,Ti_4765_GALAH,,,,,
4766,Mn_I_4766->,,,,,
4767,Ti_II_4767->,,,,,
4768,Fe_I_4768->,,,,,
4772,Zr_4772_GALAH,,,,,
4774,Ce_4774_GALAH,,,,,
4778,Ti_4778_GALAH,,,,,
4780,MgH_4780->,,,,,
4781,Co_4781_GALAH,,,,,
4782,Ti_4782_GALAH,,,,,
4784,Mn_I_4784->,,,,,
4784,V_4784_GALAH,,,,,
4792,ZrO_4792->,,,,,
4792,Sm_4792_GALAH,,,,,
4793,Ti_II_4793->,,,,,
4797,V_4797_GALAH,,,,,
4798,Ti_4798_GALAH,,,,,
4799,Ti_4799_GALAH,,,,,
4800,Fe_I_4800->,,,,,
4800,Hb_4800_SDSS,,,,,
4802,Ti_4802_GALAH,,,,,
4804,TiO_4804->,,,,,
4804,La_4804_GALAH,,,,,
4806,Zr_4806_GALAH,,,,,
4807,Ti_II_4807->,,,,,
4811,Fe_II_4811->,,,,,
4811,Zn_4811_GALAH,,,,,
4811,Nd_4811_GALAH,,,,,
4820,Ti_4820_GALAH,,,,,
4820,Y_4820_GALAH,,,,,
4824,Cr_II_4824->,,,,,
4827,ZrO_4827->,,,,,
4828,Zr_4828_GALAH,,,,,
4832,SiC2_4832->,,,,,
4832,V_4832_GALAH,,,,,
4837,Sm_4837,,,,,
4840,Fe_I_4840->,,,,,
4847,TiO_4847->,,,,,
4848,Cr_II_4848->,,,,,
4848,Sm_4848_GALAH,,,,,
4849,Ti_4849_GALAH,,,,,
4851,SiC2_4851->,,,,,
4854,Sm_4854_GALAH,,,,,
4855,Ni_I_4855->,,,,,
4855,Y_4855_GALAH,,,,,
4860,H_beta_4860->,,,,,
4861,He_I_4861->,,,,,
4862,H_beta_4862->,,,,,
4862 E,H_beta_4862.68 Emission SDSS,,,,,
4866,Ti_4866_GALAH,,,,,
4867,SiC2_4867->,,,,,
4869,Ru_4869_GALAH,,,,,
4874,Ti_4874_GALAH,,,,,
4884,Y_4884_GALAH,,,,,
4887,Fe_II_4887->,,,,,
4890,Fe_II_4890->,,,,,
4900,Co_4900_GALAH,,,,,
4904,Fe_II_4904->,,,,,
4909,SiC2_4909->,,,,,
4920,Fe_I_4920->,,,,,
4921,He_I_4921->,,,,,
4922,He_I_4922->,,,,,
4923,Fe_II_4923->,,,,,
4924,Fe_II_4924->,,,,,
4930,Fe_III_4930->,,,,,
4932 E,O_III_4932.603 Emission SDSS,,,,,
4933,N_V_4933->,,,,,
4934,Ba_II_4934->,,,,,
4935,N_V_4935->,,,,,
4936,N_V_4936->,,,,,
4937,N_V_4937->,,,,,
4938,N_V_4938->,,,,,
4939,N_V_4939->,,,,,
4940,N_V_4940->,,,,,
4941,N_V_4941->,,,,,
4942,N_V_4942->,,,,,
4943,N_V_4943->,,,,,
4944,N_V_4944->,,,,,
4955,TiO_4955->,,,,,
4957,Fe_I_4957->,,,,,
4959,O_III_4959->,,,,,
4960,O_4960->,,,,,
4960 E,O_III_4960.295 Emission SDSS,,,,,
4977,SiC2_4977->,,,,,
4981,SiC2_4981->,,,,,
4982,Ti_I_4982->,,,,,
5006,C2_5006->,,,,,
5007,O_III_5007->,,,,,
5008,O_III_5008->,,,,,
5008 E,O_III_5008.240 Emission SDSS,,,,,
5015,He_I_5015->,,,,,
5016,He_I_5016->,,,,,
5018,Fe_II_5018->,,,,,
5020,TiO_5020->,,,,,
5041,Si_II_5041->,,,,,
5048,He_I_5048->,,,,,
5056,Si_II_5056->,,,,,
5095,C2_5095->,,,,,
5096,C2_5096->,,,,,
5097,C2_5097->,,,,,
5098,C2_5098->,,,,,
5099,C2_5099->,,,,,
5100,C2_5100->,,,,,
5101,C2_5101->,,,,,
5102,C2_5102->,,,,,
5103,C2_5103->,,,,,
5104,C2_5104->,,,,,
5105,C2_5105->,,,,,
5106,C2_5106->,,,,,
5107,C2_5107->,,,,,
5108,C2_5108->,,,,,
5109,C2_5109->,,,,,
5110,C2_5110->,,,,,
5127,Fe_III_5127->,,,,,
5130,C2_5130->,,,,,
5156,Fe_III_5156->,,,,,
5165,C2_5165->,,,,,
