Line,Element,,,,,
5167,Mg_I_Triplet_5167->,,,,,
5169,Fe_II_5169->,,,,,
5170,Mg_I_5170->,,,,,
5171,Mg_I_5171->,,,,,
5172,Mg_I_5172->,,,,,
5173,Mg_I_Triplet_5173->,,,,,
5174,Mg_I_5174->,,,,,
5175,Mg_I_5175->,,,,,
5176,Mg_I_5176->,,,,,
5176,Mg_5176.7_SDSS,,,,,
5177,Mg_I_5177->,,,,,
5178,Mg_I_5178->,,,,,
5179,Mg_I_5179->,,,,,
5180,Mg_I_5180->,,,,,
5181,Mg_I_5181->,,,,,
5182,Mg_I_5182->,,,,,
5183,Mg_I_Triplet_5183->,,,,,
5184,Mg_I_Triplet_5184->,,,,,
5192,SiC2_5192->,,,,,
5198,SiC2_5198->,,,,,
5202,N_5202->,,,,,
5206,Cr_5206->,,,,,
5207,Cr_5207->,,,,,
5208,Cr_5208->,,,,,
5235,Fe_II_5235->,,,,,
5240,TiO_5240->,,,,,
5246,ZrO_5246->,,,,,
5255,CN_5255->,,,,,
5270,Fe_I_5270->,,,,,
5276,Fe_II_5276->,,,,,
5297,Cr_5297->,,,,,
5298,Cr_5298->,,,,,
5303,Sc_I_5303->,,,,,
5305,ZrO_5305->,,,,,
5308,TiO_5308->,,,,,
5314,N_III_5314->,,,,,
5317,Fe_II_5317->,,,,,
5328,Fe_I_5328->,,,,,
5330,Fe_II_5330->,,,,,
5332,ZrO_5332->,,,,,
5359,TiO_5359->,,,,,
5375,ZrO_5375->,,,,,
5379,ZrO_5379->,,,,,
5395,Mn_I_5395->,,,,,
5404,ZrO_5404->,,,,,
5405,Fe_I_5405->,,,,,
5407,ZrO_5407->,,,,,
5411,He_II_5411->,,,,,
5412,He_II_5412->,,,,,
5426,Ti_I_5426->,,,,,
5428,Fe_I_5428->,,,,,
5430,Fe_I_5430->,,,,,
5432,ZrO_5432->,,,,,
5437,ZrO_5437->,,,,,
5448,TiO_5448->,,,,,
5451,TiO_5451->,,,,,
5456,ZrO_5456->,,,,,
5461,Hg_5461->,,,,,
5463,ZrO_5463->,,,,,
5477,Ni_I_5477->,,,,,
5485,ZrO_5485->,,,,,
5490,ZrO_5490->,,,,,
5497,TiO_5497->,,,,,
5502,C2_5502->,,,,,
5513,Ca_I_5513->,,,,,
5514,Ti_I_5514->,,,,,
5515,ZrO_5515->,,,,,
5528,Mg_I_5528->,,,,,
5534,Fe_II_5534->,,,,,
5539,ZrO_5539->,,,,,
5541,C2_5541->,,,,,
5544,Fe_I_5544->,,,,,
5545,ZrO_5545->,,,,,
5551,ZrO_5551->,,,,,
5560,Fe_II_5560->,,,,,
5572,O_V_5572->,,,,,
5573,Fe_I_5573->,,,,,
5574,O_V_5574->,,,,,
5575,O_V_5575->,,,,,
5576,O_V_5576->,,,,,
5577,O_I_5577->,,,,,
5578,O_V_5578->,,,,,
5578,Sky_5578.5_SDSS,,,,,
5579,O_V_5579->,,,,,
5580,O_V_5580->,,,,,
5581,O_V_5581->,,,,,
5582,O_V_5582->,,,,,
5583,O_V_5583->,,,,,
5584,O_V_5584->,,,,,
5585,C2_5585->,,,,,
5586,O_V_5586->,,,,,
5587,O_V_5587->,,,,,
5588,O_V_5588->,,,,,
5589,O_V_5589->,,,,,
5590,O_V_5590->,,,,,
5591,O_V_5591->,,,,,
5592,O_III_5592->,,,,,
5593,ZrO_5593->,,,,,
5594,O_V_5594->,,,,,
5595,O_V_5595->,,,,,
5596,O_V_5596->,,,,,
5597,TiO_5597->,,,,,
5598,O_V_5598->,,,,,
5603,TiO_5603->,,,,,
5626,Fe_I_5626->,,,,,
5629,ZrO_5629->,,,,,
5635,C2_5635->,,,,,
5636,C2_5636->,,,,,
5647,Co_5647_GALAH,,,,,
5663,Y_5663_GALAH,,,,,
5668,TiO_5668->,,,,,
5681,Zr_5681_GALAH,,,,,
5689,Ti_5689_GALAH,,,,,
5689,Mo_5689_GALAH,,,,,
5696,C_III_5696->,,,,,
5699,Ru_5699_GALAH,,,,,
5700,Cu_5700_GALAH,,,,,
5711,Mg_5711_GALAH,,,,,
5716,Ti_5716_GALAH,,,,,
5718,ZrO_5718->,,,,,
5720,Ti_5720_GALAH,,,,,
5724,ZrO_5724->,,,,,
5727,V_I_5727->,,,,,
5729,Y_5729_GALAH,,,,,
5739,Si_III_5739->,,,,,
5739,Ti_5739_GALAH,,,,,
5741,Nd_5741_GALAH,,,,,
5748,ZrO_5748->,,,,,
5749,CN_5749->,,,,,
5751,Mo_5751_GALAH,,,,,
5753,Fe_I_5753->,,,,,
5754,ZrO_5754->,,,,,
5755,N_II_5755->,,,,,
5760,TiO_5760->,,,,,
5770,Hg_5770->,,,,,
5770,Nd_5770_GALAH,,,,,
5782,Cu_5782_GALAH,,,,,
5790,Hg_5790->,,,,,
5791,Cr_5791->,,,,,
5800,Sodium_5800_SDSS,,,,,
5801,C_IV_5801->,,,,,
5802,C_IV_5802->,,,,,
5803,C_IV_5803->,,,,,
5804,C_IV_5804->,,,,,
5805,C_IV_5805->,,,,,
5806,C_IV_5806->,,,,,
5806,LA_5806_GALAH,,,,,
5807,C_IV_5807->,,,,,
5808,C_IV_5808->,,,,,
5809,C_IV_5809->,,,,,
5810,C_IV_5810->,,,,,
5811,C_IV_5811->,,,,,
5812,C_IV_5812->,,,,,
5812,Nd_5812_GALAH,,,,,
5814,TiO_5814->,,,,,
5819,Eu_5819_GALAH,,,,,
5839,ZrO_5839->,,,,,
5842,Nd_5842_GALAH,,,,,
5847,TiO_5847->,,,,,
5847,Ni_5847_GALAH,,,,,
5849,ZrO_5849->,,,,,
5853,Ba_II_5853->,,,,,
5857,Ca_I_5857->,,,,,
5858,Mo_5858_GALAH,,,,,
5860,ZrO_5860->,,,,,
5861,Telluric_5861->,,,,,
5862,Telluric_5862->,,,,,
5863,Telluric_5863->,,,,,
5864,Telluric_5864->,,,,,
5865,Telluric_5865->,,,,,
5866,Telluric_5866->,,,,,
5866,Ti_5866_GALAH,,,,,
5867,Telluric_5867->,,,,,
5868,Telluric_5868->,,,,,
5869,Telluric_5869->,,,,,
5870,ZrO_5870->,,,,,
5871,Telluric_5871->,,,,,
5872,Telluric_5872->,,,,,
5873,Telluric_5873->,,,,,
5874,Telluric_5874->,,,,,
5875,He_I_5875->,,,,,
5876,He_I_5876->,,,,,
5889,Na_I_5889->,,,,,
5890,Na_I_5890->,,,,,
5892,Na_I_5892->,,,,,
5893,Na_I_5893->,,,,,
5894,Na_I_5894->,,,,,
5894,Sky_5894.6_SDSS,,,,,
5895,Na_I_5895->,,,,,
5895,Na_5895.6_SDSS,,,,,
5896,Na_I_5896->,,,,,
5914,Fe_I_5914->,,,,,
5932,N_II_5932->,,,,,
5940,Telluric_5940->,,,,,
5942,N_II_5942->,,,,,
5945,Telluric_5945->,,,,,
5950,Telluric_5950->,,,,,
5955,Telluric_5955->,,,,,
5960,Telluric_5960->,,,,,
5965,Telluric_5965->,,,,,
5968,TiO_5968->,,,,,
5970,Telluric_5970->,,,,,
5975,Telluric_5975->,,,,,
5980,Telluric_5980->,,,,,
5983,ZrO_5983->,,,,,
5985,Telluric_5985->,,,,,
5990,Telluric_5990->,,,,,
5998,TiO_5998->,,,,,
6005,C2_6005->,,,,,
6023,ZrO_6023->,,,,,
6027,ZrO_6027->,,,,,
6054,ZrO_6054->,,,,,
6059,C2_6059->,,,,,
6063,ZrO_6063->,,,,,
6103,Ca_I_6103->,,,,,
6122,Ca_I_6122->,,,,,
6123,C2_6123->,,,,,
6132,ZrO_6132->,,,,,
6136,ZrO_6136->,,,,,
6137,Fe_I_6137->,,,,,
6154,ZrO_6154->,,,,,
6159,TiO_6159->,,,,,
6161,Ca_I_6161->,,,,,
6162,Ca_I_6162->,,,,,
6168,C2_6168->,,,,,
6169,Ca_I_6169->,,,,,
6170,Ca_I_6170->,,,,,
6180,TiO_6180->,,,,,
6191,C2_6191->,,,,,
6201,ZrO_6201->,,,,,
6206,CN_6206->,,,,,
6229,ZrO_6229->,,,,,
6259,CN_6259->,,,,,
6261,ZrO_6261->,,,,,
6268,TiO_6268->,,,,,
6276,O2_a_band_6276->,,,,,
6277,O2_a_band_6277->,,,,,
6278,O2_a_band_6278->,,,,,
6279,O2_a_band_6279->,,,,,
6280,Telluric_6280->,,,,,
6281,O2_a_band_6281->,,,,,
6282,O2_a_band_6282->,,,,,
6283,O2_a_band_6283->,,,,,
6284,O2_a_band_6284->,,,,,
6294,ZrO_6294->,,,,,
6300,O_I_6300->,,,,,
6301,Sky_6301.7_SDSS,,,,,
6302 E,O_I_6302.046 Emission SDSS,,,,,
6312,S_III_6312->,,,,,
6347,Si_II_6347->,,,,,
6350,ZrO_6350->,,,,,
6355,CN_6355->,,,,,
6358,TiO_6358->,,,,,
6363,O_I_6363->,,,,,
6364,O_I_6364->,,,,,
6365 E,O_I_6365.536 Emission SDSS,,,,,
6366,O_I_6366->,,,,,
6371,Si_II_6371->,,,,,
6378,ZrO_6378->,,,,,
6384,TiO_6384->,,,,,
6390,CaH_6390->,,,,,
6412,ZrO_6412->,,,,,
6418,ZrO_6418->,,,,,
6439,Ca_I_6439->,,,,,
6447,ZrO_6447->,,,,,
6453,Fe_II_6453->,,,,,
6454,Fe_II_6454->,,,,,
6455,Fe_II_6455->,,,,,
6456,Fe_II_6456->,,,,,
6457,Fe_II_6457->,,,,,
6458,Fe_II_6458->,,,,,
6475,ZrO_6475->,,,,,
6478,TiO_6478->,,,,,
6481,ZrO_6481->,,,,,
6490,Co_6490_GALAH,,,,,
6494,ZrO_6494->,,,,,
6502,CN_6502->,,,,,
6512,Fe_II_6512->,,,,,
6513,Fe_II_6513->,,,,,
6514,Fe_II_6514->,,,,,
6515,Fe_II_6515->,,,,,
6516,Fe_II_6516->,,,,,
6517,Fe_II_6517->,,,,,
6518,Fe_II_6518->,,,,,
6529 E,N_I_6529.03 Emission SDSS,,,,,
6532,VO_6532->,,,,,
6548,N_II_6548->,,,,,
6549 E,N_II_6549.86 Emission SDSS,,,,,
6550,Sr_6550_GALAH,,,,,
6551,Co_6551_GALAH,,,,,
6560,He_II_6560->,,,,,
6563,H_alpha_6563->,,,,,
6564,H_alpha_6564->,,,,,
6564 E,H_alpha_6564.61 Emission SDSS,,,,,
6569,TiO_6569->,,,,,
6572,Ca_I_6572->,,,,,
6578,C_II_6578->,,,,,
6579,C_II_6579->,,,,,
6580,C_II_6580->,,,,,
6581,C_II_6581->,,,,,
6582,C_II_6582->,,,,,
6583,N_II_6583->,,,,,
6584,N_II_6584->,,,,,
6585 E,N_II_6585.27 Emission SDSS,,,,,
6586,Ni_6586_GALAH,,,,,
6588,C_6588_GALAH,,,,,
6599,Ti_6599_GALAH,,,,,
6600,Ha_6600_SDSS,,,,,
6619,Mo_6619_GALAH,,,,,
6632,Co_6632_GALAH,,,,,
6645,Eu_6645_GALAH,,,,,
6651,TiO_6651->,,,,,
6656,CN_6656->,,,,,
6678,He_I_6678->,,,,,
6679,Co_6679_GALAH,,,,,
6680,He_I_6680->,,,,,
6681,TiO_6681->,,,,,
6708,Li_6708_GALAH,,,,,
6713,Si_II_6713->,,,,,
6715,TiO_6715->,,,,,
6716,S_II_6716->,,,,,
6717,Ti_6717_GALAH,,,,,
6718,S_II_6718->,,,,,
6718 E,S_II_6718.29 Emission SDSS,,,,,
6730,S_II_6730->,,,,,
6732 E,S_II_6732.67 Emission SDSS,,,,,
6733,S_II_6733->,,,,,
6736,S_II_6736->,,,,,
6743,ZrO_6743->,,,,,
6750,CaH_6750->,,,,,
6778,ZrO_6778->,,,,,
6782,TiO_6782->,,,,,
6787,ZrO_6787->,,,,,
6815,TiO_6815->,,,,,
6867,O2_B_band_6867->,,,,,
6868,O2_B_band_6868->,,,,,
6870,O2_B_band_6870->,,,,,
6872,O2_B_band_6872->,,,,,
6874,O2_B_band_6874->,,,,,
6876,O2_B_band_6876->,,,,,
6878,O2_B_band_6878->,,,,,
6880,O2_B_band_6880->,,,,,
6882,O2_B_band_6882->,,,,,
6884,O2_B_band_6884->,,,,,
6890,Cn_6890->,,,,,
6903,CaH_6903->,,,,,
6908,CaH_6908->,,,,,
6921,CaH_6921->,,,,,
6933,ZrO_6933->,,,,,
6955,CN_6955->,,,,,
6988,ZrO_6988->,,,,,
7037,C_III_7037->,,,,,
7054,TiO_7054->,,,,,
7063,Ni_I_7063->,,,,,
7065,He_I_7065->,,,,,
7066,La_7066->,,,,,
7088,TiO_7088->,,,,,
7100,N_IV_7100->,,,,,
7102,N_V_7102->,,,,,
7103,N_V_7103->,,,,,
7104,N_V_7104->,,,,,
7105,N_V_7105->,,,,,
7106,N_V_7106->,,,,,
7107,N_V_7107->,,,,,
7108,N_V_7108->,,,,,
7109,N_V_7109->,,,,,
7110,N_V_7110->,,,,,
7111,N_V_7111->,,,,,
7112,N_V_7112->,,,,,
7113,N_V_7113->,,,,,
7114,N_V_7114->,,,,,
7115,N_V_7115->,,,,,
7116,N_V_7116->,,,,,
7117,N_V_7117->,,,,,
7118,N_V_7118->,,,,,
7119,N_V_7119->,,,,,
7120,N_V_7120->,,,,,
7121,N_V_7121->,,,,,
7122,N_V_7122->,,,,,
7123,N_V_7123->,,,,,
7124,N_V_7124->,,,,,
7125,N_V_7125->,,,,,
7126,TiO_7126->,,,,,
7127,N_V_7127->,,,,,
7128,N_V_7128->,,,,,
7129,N_V_7129->,,,,,
7135,Ar_III_7135->,,,,,
7137,Ar_III_7137->,,,,,
7246,Sky_7246.0_SDSS,,,,,
7281,He_I_7281->,,,,,
7283,CN_7283->,,,,,
7570,Telluric_7570->,,,,,
7575,Telluric_7575->,,,,,
7580,Telluric_7580->,,,,,
7585,Telluric_7585->,,,,,
7590,Telluric_7590->,,,,,
7591,Telluric_7591->,,,,,
7592,Telluric_7592->,,,,,
7593,Telluric_7593->,,,,,
7594,O2_A_band_7594->,,,,,
7595,Telluric_7595->,,,,,
7596,O2_A_band_7596->,,,,,
7598,O2_A_band_7598->,,,,,
7600,O2_A_band_7600->,,,,,
7602,O2_A_band_7602->,,,,,
7604,O2_A_band_7604->,,,,,
7605,Telluric_7605->,,,,,
7606,O2_A_band_7606->,,,,,
7608,O2_A_band_7608->,,,,,
7610,O2_A_band_7610->,,,,,
7612,O2_A_band_7612->,,,,,
7614,O2_A_band_7614->,,,,,
7615,Telluric_7615->,,,,,
7616,O2_A_band_7616->,,,,,
7618,O2_A_band_7618->,,,,,
7621,O2_A_band_7621->,,,,,
7625,Telluric_7625->,,,,,
7635,Telluric_7635->,,,,,
7645,Telluric_7645->,,,,,
7655,Telluric_7655->,,,,,
7665,Telluric_7665->,,,,,
7675,Telluric_7675->,,,,,
7685,Telluric_7685->,,,,,
7695,Telluric_7695->,,,,,
7698,Telluric_7698->,,,,,
7699,CN_7699->,,,,,
7699,K_7699_GALAH,,,,,
7700,Telluric_7700->,,,,,
7713,Co_7713_GALAH,,,,,
7772,O_I_7772->,,,,,
7774,O_I_7774->,,,,,
7775,O_I_7775->,,,,,
7800,Rb_7800_GALAH,,,,,
7838,Co_7838_GALAH,,,,,
7853,Ti_7853_GALAH,,,,,
8446,O_I_8446->,,,,,
8498,Ca_II_8498->,,,,,
8500,C_III_8500->,,,,,
8542,Ca_II_8542->,,,,,
8583,He_I_8583->,,,,,
8600,Pa14_8600->,,,,,
8662,Ca_II_8662->,,,,,
8727,C_I_8727->,,,,,
8752,Pa12_8752->,,,,,
8865,Pa11_8865->,,,,,
9017,Pa10_9017->,,,,,
9229,Pa9_9229->,,,,,
9546,Pa8_9546->,,,,,
9956,Fe_II_9956->,,,,,
9997,Fe_II_9997->,,,,,
10048,Pa7_10048->,,,,,
10123,He_II_10123->,,,,,
10173,Fe_II_10173->,,,,,